date,symbol,side,qty,price,commission,slippage_bps,fill_model,entry_score,entry_tag
2025-10-14,PSA,BUY,35,299.859983,1.0,1.0,next_open,0.00015248053746681864,donchian
2025-10-15,KO,BUY,157,67.2717265,1.0,1.0,next_open,-3.006208721866232e-05,donchian
2025-10-16,MSTR,SELL,30,299.87001,1.0,1.0,next_open,,
2025-10-16,PLD,BUY,86,123.872386,1.0,1.0,next_open,0.004336510836495585,donchian
2025-10-29,AWI,SELL,69,193.55064299999998,1.0,1.0,next_open,,
2025-10-29,PSA,SELL,35,298.080189,1.0,1.0,next_open,,
2025-10-29,NUE,BUY,71,152.21522,1.0,1.0,next_open,0.00818213940476315,donchian
2025-10-29,REGN,BUY,16,650.4750409999999,1.0,1.0,next_open,0.005678853393943441,donchian
2025-10-30,CNP,SELL,280,39.036096,1.0,1.0,next_open,,
2025-10-30,CTSH,BUY,152,71.697169,1.0,1.0,next_open,-0.0017460485133179574,donchian
2025-11-06,CRH,SELL,105,113.198679,1.0,1.0,next_open,,
2025-11-06,CPNG,BUY,367,29.712971,1.0,1.0,next_open,0.40914097450858833,mean_reversion
2025-11-18,CTSH,SELL,152,70.932906,1.0,1.0,next_open,,
2025-11-18,BBY,BUY,147,73.937393,1.0,1.0,next_open,4.134963292785628,mean_reversion
2025-11-19,MPWR,SELL,11,866.0733839999999,1.0,1.0,next_open,,
2025-11-19,MRK,BUY,113,96.0096,1.0,1.0,next_open,0.0021144664654085556,donchian
2025-11-24,BBY,SELL,147,76.9473045,1.0,1.0,next_open,,
2025-11-24,MAT,BUY,560,19.80198,1.0,1.0,next_open,0.00025050995452088166,donchian
2025-11-25,CPNG,SELL,367,27.507249,1.0,1.0,next_open,,
2025-11-26,GAP,BUY,426,26.872687000000003,1.0,1.0,next_open,0.010231499793143122,donchian
2025-12-08,REGN,SELL,16,723.6176310000001,1.0,1.0,next_open,,
2025-12-08,KO,SELL,157,69.833016,1.0,1.0,next_open,,
2025-12-08,RBRK,BUY,132,85.53855300000001,1.0,1.0,next_open,0.012371038105561671,donchian
2025-12-08,FCN,BUY,66,169.06690500000002,1.0,1.0,next_open,0.00046046456509364305,donchian
2025-12-10,MRK,SELL,113,98.040195,1.0,1.0,next_open,,
2025-12-10,PNC,BUY,55,202.710269,1.0,1.0,next_open,0.001246778711772023,donchian
2025-12-23,MAT,SELL,560,19.808018999999998,1.0,1.0,next_open,,
2025-12-23,HEI,BUY,33,336.0336,1.0,1.0,next_open,0.001486603894524457,donchian
2025-12-30,GAP,SELL,426,25.937406000000003,1.0,1.0,next_open,,
2025-12-30,AXTA,BUY,342,32.763276,1.0,1.0,next_open,0.0006413191790761029,donchian
2026-01-06,RBRK,SELL,132,73.242675,1.0,1.0,next_open,,
2026-01-06,ROIV,SELL,852,21.467852999999998,1.0,1.0,next_open,,
2026-01-06,AFRM,BUY,137,81.63816299999999,1.0,1.0,next_open,0.005093889758223283,donchian
2026-01-06,AWI,BUY,56,199.909989,1.0,1.0,next_open,0.0031790814247275503,donchian
2026-01-15,BIIB,SELL,69,169.013097,1.0,1.0,next_open,,
2026-01-15,ROIV,BUY,467,23.762376000000003,1.0,1.0,next_open,0.0063268765436576505,donchian
2026-01-21,AWI,SELL,56,189.541044,1.0,1.0,next_open,,
2026-01-21,SNDK,BUY,23,463.09630500000003,1.0,1.0,next_open,0.14162460952975317,donchian
2026-01-23,HEI,SELL,33,342.885708,1.0,1.0,next_open,,
2026-01-23,FAF,BUY,173,64.676467,1.0,1.0,next_open,0.001272148503822533,donchian
2026-01-27,AFRM,SELL,137,71.022897,1.0,1.0,next_open,,
2026-01-28,AGNC,BUY,916,12.131213,1.0,1.0,next_open,0.004796601159596579,donchian
2026-01-29,ROIV,SELL,467,21.887811,1.0,1.0,next_open,,
2026-01-29,MPWR,BUY,9,1166.046593,1.0,1.0,next_open,0.018123882231556584,donchian
2026-01-30,FCN,SELL,66,173.762622,1.0,1.0,next_open,,
2026-01-30,IAC,BUY,302,37.10371,1.0,1.0,next_open,0.987043096121667,mean_reversion
2026-02-02,AGNC,SELL,916,11.323867499999999,1.0,1.0,next_open,,
2026-02-02,KO,BUY,148,75.01750100000001,1.0,1.0,next_open,0.0006741155137816284,donchian
